"State","Total.Rate","Total.Number","Total.Population","Rates.Age.< 18","Rates.Age.18-45","Rates.Age.45-64","Rates.Age.> 64","Rates.Age and Sex.< 18.Female","Rates.Age and Sex.< 18.Male","Rates.Age and Sex.18 - 45.Female","Rates.Age and Sex.18 - 45.Male","Rates.Age and Sex.45 - 64.Female","Rates.Age and Sex.45 - 64.Male","Rates.Age and Sex.> 64.Female","Rates.Age and Sex.> 64.Male","Rates.Race.White","Rates.Race.White non-Hispanic","Rates.Race.Black","Rates.Race.Asian","Rates.Race.Indigenous","Rates.Race and Sex.Female.White","Rates.Race and Sex.Female.White non-Hispanic","Rates.Race and Sex.Female.Black","Rates.Race and Sex.Female.Black non-Hispanic","Rates.Race and Sex.Female.Asian","Rates.Race and Sex.Female.Indigenous","Rates.Race and Sex.Male.White","Rates.Race and Sex.Male.White non-Hispanic","Rates.Race and Sex.Male.Black","Rates.Race and Sex.Male.Black non-Hispanic","Rates.Race and Sex.Male.Asian","Rates.Race and Sex.Male.Indigenous","Rates.Race.Hispanic","Rates.Race and Sex.Female.Hispanic","Rates.Race and Sex.Male.Hispanic","Types.Breast.Total","Types.Breast.Age.18 - 44","Types.Breast.Age.45 - 64","Types.Breast.Age.> 64","Types.Breast.Race.White","Types.Breast.Race.White non-Hispanic ","Types.Breast.Race.Black","Types.Breast.Race.Black non-Hispanic","Types.Breast.Race.Asian","Types.Breast.Race.Indigenous","Types.Breast.Race.Hispanic","Types.Colorectal.Total","Types.Colorectal.Age and Sex.Female.18 - 44","Types.Colorectal.Age and Sex.Male.18 - 44","Types.Colorectal.Age and Sex.Female.45 - 64","Types.Colorectal.Age and Sex.Male.45 - 64","Types.Colorectal.Age and Sex.Female.> 64","Types.Colorectal.Age and Sex.Male.> 64","Types.Colorectal.Race.White","Types.Colorectal.Race.White non-Hispanic","Types.Colorectal.Race.Black","Types.Colorectal.Race.Black non-Hispanic","Types.Colorectal.Race.Asian","Types.Colorectal.Race.Indigenous","Types.Colorectal.Race.Hispanic","Types.Lung.Total","Types.Lung.Age and Sex.Female.18 - 44","Types.Lung.Age and Sex.Male.18 - 44","Types.Lung.Age and Sex.Female.45 - 64","Types.Lung.Age and Sex.Male.45 - 64","Types.Lung.Age and Sex.Female.> 64","Types.Lung.Age and Sex.Male.> 64","Types.Lung.Race.White","Types.Lung.Race.White non-Hispanic","Types.Lung.Race.Black","Types.Lung.Race.Black non-Hispanic","Types.Lung.Race.Asian","Types.Lung.Race.Indigenous","Types.Lung.Race.Hispanic"
"Minnesota","178.4","66328.0","37183729.0","2.1","12.9","167.8","983.7","2.0","2.3","13.2","12.6","157.1","178.5","842.8","1165.2","163.2","163.8","178.9","121.5","220.5","140.9","141.3","145.3","147.2","100.9","182.9","195.3","196.2","222.6","227.1","150.3","274.9","94.6","88.4","101.3","24.3","3.1","30.7","103.1","20.4","20.5","21.3","21.4","11.1","9.8","9.9","15.6","1.1","1.5","11.8","17.2","80.8","93.4","14.1","14.2","12.2","12.5","10.5","25.0","7.9","44.8","1.1","1.1","38.0","47.6","212.0","305.6","41.7","42.0","40.3","40.7","21.7","83.8","16.0"
"Mississippi","211.4","43874.0","20756872.0","2.4","19.5","263.9","1049.1","2.2","2.5","20.0","19.0","221.1","310.0","813.9","1372.7","188.6","189.9","229.7","122.4","128.4","150.7","151.4","175.2","175.6","116.6","107.4","241.8","243.9","319.5","321.2","130.7","155.3","54.3","54.9","58.9","27.7","5.2","43.4","100.0","20.1","20.1","32.9","33.0","0.0","0.0","0.0","20.9","1.8","3.0","21.9","34.1","88.8","113.3","17.3","17.5","26.4","26.5","0.0","0.0","0.0","65.6","1.5","2.6","58.8","106.6","223.7","496.4","61.8","62.3","60.1","60.4","33.9","0.0","12.6"
"Missouri","211.2","88348.0","41838390.0","2.3","16.3","221.0","1030.8","2.2","2.4","18.6","14.1","194.2","249.3","875.8","1235.8","182.5","183.9","220.9","97.6","82.9","155.4","156.5","187.9","188.9","85.6","78.7","220.3","221.9","275.6","277.2","114.4","89.8","82.6","70.0","98.4","28.9","4.6","37.6","108.9","22.5","22.7","32.6","32.9","10.9","0.0","9.3","19.4","1.6","1.9","14.5","23.8","87.0","109.0","16.6","16.7","22.7","22.8","13.6","0.0","9.0","65.5","1.9","1.8","56.3","83.1","257.3","419.5","57.1","57.6","60.2","60.5","21.0","27.7","18.5"
"Montana","196.1","13593.0","6933023.0","2.4","11.8","175.4","939.1","0.0","2.5","13.0","10.7","167.0","183.7","815.4","1081.7","159.9","158.6","137.0","114.9","202.6","140.1","138.8","0.0","0.0","101.3","164.6","185.6","184.3","0.0","0.0","0.0","256.1","114.9","106.8","124.1","26.2","3.8","31.7","97.9","20.4","20.3","0.0","0.0","0.0","17.3","0.0","17.2","0.0","0.0","14.4","18.3","75.3","88.5","13.6","13.5","0.0","0.0","0.0","24.7","0.0","52.4","0.0","0.0","40.0","46.9","233.3","299.3","42.6","42.2","0.0","0.0","0.0","59.8","25.6"
"Nebraska","187.5","23977.0","12785524.0","2.7","13.1","179.8","999.5","2.4","3.0","14.2","12.1","163.1","196.7","848.1","1198.5","165.8","167.5","220.6","112.9","160.8","141.4","142.8","185.7","189.4","104.4","144.7","199.9","202.0","272.5","277.8","123.4","184.3","94.8","79.4","113.3","24.8","3.5","30.7","102.6","20.1","20.3","26.9","27.6","0.0","0.0","12.2","19.2","0.0","1.2","13.8","21.7","99.8","111.4","16.7","16.9","26.7","27.2","0.0","0.0","7.1","49.5","1.1","0.9","41.6","54.4","210.8","348.8","44.2","44.8","62.7","64.0","26.6","54.8","18.1"
"Nevada","167.9","31758.0","18912307.0","1.9","13.4","183.7","944.2","1.8","2.1","14.1","12.7","171.4","196.0","814.8","1089.0","178.5","188.5","173.9","104.9","108.2","156.0","165.8","148.3","153.0","90.9","91.1","206.1","216.2","209.4","215.3","125.5","131.9","98.8","83.1","119.6","24.6","3.6","35.7","108.0","23.7","25.5","27.7","28.9","15.8","0.0","10.6","16.7","1.2","1.7","15.5","22.5","80.6","106.2","17.7","18.5","21.4","21.9","11.4","0.0","11.5","48.5","1.0","1.1","43.8","52.0","263.7","325.9","52.1","56.0","44.7","46.1","23.4","27.8","20.4"
"New Hampshire","197.9","18256.0","9223389.0","2.2","14.7","175.2","1009.2","2.9","0.0","15.1","14.3","163.2","187.4","865.4","1189.5","173.7","174.4","105.6","65.8","0.0","149.9","150.6","81.6","90.2","46.9","0.0","207.9","208.6","133.6","128.5","97.1","0.0","74.4","57.3","97.1","26.1","3.8","30.2","103.4","20.9","21.1","0.0","0.0","0.0","0.0","0.0","16.5","1.5","1.6","11.7","14.5","83.6","90.3","14.5","14.6","0.0","0.0","0.0","0.0","0.0","55.4","1.5","1.7","47.8","53.6","246.0","336.8","48.5","48.7","32.6","0.0","0.0","0.0","0.0"
"New Jersey","189.9","116836.0","61521555.0","2.1","14.4","174.8","999.6","1.9","2.2","16.0","12.8","167.2","182.8","872.7","1176.8","170.8","176.4","189.7","81.1","47.6","150.9","156.6","161.1","170.5","71.7","48.9","201.4","207.1","240.5","255.9","93.7","46.0","105.2","89.4","128.8","30.3","4.7","36.7","119.5","24.0","25.1","30.5","32.6","11.6","0.0","12.9","18.8","1.3","1.5","13.7","19.5","92.4","113.4","16.4","16.8","21.3","22.7","8.0","0.0","11.0","47.5","1.4","1.3","37.3","48.5","216.6","317.5","43.9","46.4","42.8","45.4","17.7","12.0","17.9"
"New Mexico","163.2","23425.0","14349762.0","2.2","13.9","167.3","845.0","2.0","2.5","14.2","13.6","152.0","183.5","706.2","1014.2","154.2","157.1","162.0","94.0","114.3","130.2","134.2","128.1","144.8","85.2","102.9","185.6","186.7","199.9","217.8","109.8","131.9","143.4","118.5","176.4","23.2","3.6","32.8","90.6","20.7","21.7","21.9","25.2","0.0","11.4","18.2","16.2","1.3","1.8","12.8","21.1","73.1","95.4","15.1","14.4","20.5","23.1","0.0","13.7","15.9","36.3","0.0","0.9","26.8","35.0","171.5","250.3","35.1","39.3","42.9","47.2","20.2","8.9","26.3"
"New York","183.2","248572.0","135716524.0","2.4","14.3","182.4","942.9","2.2","2.6","15.6","13.0","171.2","194.4","815.9","1121.7","167.6","169.2","163.2","97.2","45.4","147.4","149.9","140.4","154.6","78.3","41.7","197.8","198.0","205.9","225.6","121.6","51.6","119.3","99.4","152.2","26.8","4.2","34.1","104.1","21.9","22.1","25.4","28.2","9.2","3.8","15.2","17.4","1.3","1.6","13.4","18.5","84.4","103.0","15.3","15.2","17.4","19.0","10.5","4.5","13.1","47.2","1.5","1.3","40.9","53.7","208.3","309.1","44.7","46.7","35.6","39.2","23.3","13.8","21.0"
"North Carolina","188.7","125783.0","66669069.0","2.0","15.8","212.6","963.3","1.8","2.2","17.5","14.1","184.8","242.6","788.0","1200.2","171.7","174.0","203.3","91.8","153.1","142.9","144.8","160.1","161.6","86.4","120.1","213.0","216.0","277.9","280.5","99.6","201.3","66.0","59.8","73.8","26.1","4.8","37.6","97.6","20.6","20.9","29.2","29.5","8.5","17.6","8.8","16.0","1.5","1.7","15.3","22.2","69.9","92.8","13.9","14.1","20.9","21.1","6.0","11.8","5.8","57.2","1.8","1.6","49.4","81.6","220.8","409.4","53.4","54.3","51.8","52.2","22.7","50.4","11.3"
"North Dakota","189.1","8990.0","4754903.0","2.1","10.0","165.4","981.7","0.0","0.0","10.3","9.8","151.3","178.9","805.0","1210.6","156.8","156.4","0.0","0.0","238.4","129.8","129.7","0.0","0.0","0.0","215.3","194.1","193.4","0.0","0.0","0.0","271.5","108.5","0.0","163.7","26.6","2.4","28.9","110.7","19.7","19.7","0.0","0.0","0.0","27.4","0.0","19.5","0.0","0.0","14.3","19.0","90.1","118.0","15.9","15.9","0.0","0.0","0.0","25.3","0.0","47.7","0.0","0.0","36.6","45.6","185.6","342.6","39.8","39.7","0.0","0.0","0.0","87.5","0.0"
"Ohio","217.8","175847.0","80741243.0","2.0","16.9","220.2","1061.6","1.9","2.0","18.4","15.4","197.6","244.0","895.1","1288.3","185.3","186.0","218.0","98.7","55.5","157.9","158.6","181.6","182.7","90.5","41.6","224.6","225.4","276.7","278.3","110.9","74.6","97.0","76.3","123.4","30.3","4.5","38.0","114.5","23.2","23.4","31.1","31.4","11.9","0.0","9.5","20.2","1.4","1.8","15.3","22.5","90.4","117.4","17.0","17.1","21.4","21.5","8.3","0.0","9.7","64.2","2.2","2.1","54.2","80.3","250.6","407.9","54.8","55.1","62.9","63.3","25.4","21.5","18.5"
"Oklahoma","209.4","54930.0","26229144.0","2.4","16.3","238.9","1040.5","1.9","2.9","18.6","14.1","209.8","269.2","855.6","1279.4","190.2","192.6","222.1","122.1","194.2","159.0","160.8","181.4","182.5","127.1","162.3","232.7","236.0","286.9","289.5","116.5","237.8","103.6","90.9","119.4","27.8","4.3","38.4","107.7","23.2","23.5","34.7","35.0","12.2","19.5","11.7","19.3","1.8","2.3","18.7","27.0","79.8","111.0","17.1","17.2","23.2","23.4","11.4","22.5","13.2","65.2","1.4","1.2","60.6","88.7","256.6","436.7","59.4","60.5","59.7","60.1","32.1","57.3","19.8"
"Oregon","199.1","53430.0","26832116.0","2.4","13.4","191.3","1001.4","2.2","2.5","14.4","12.3","175.3","208.1","866.0","1169.2","173.7","175.5","200.8","118.0","138.7","151.0","152.6","161.7","168.8","101.8","125.5","204.8","206.9","246.2","252.7","142.1","156.0","108.6","91.2","129.9","26.2","3.3","34.0","101.3","21.3","21.6","24.5","26.0","9.9","14.4","11.5","17.7","1.4","1.3","13.8","19.8","82.7","97.5","15.3","15.4","23.8","24.6","12.7","14.2","10.9","53.8","0.9","1.0","41.9","53.4","250.7","329.6","47.2","48.0","55.3","57.1","29.9","37.2","20.5"
"Pennsylvania","227.7","202230.0","88825682.0","2.2","15.7","204.1","1057.3","2.1","2.4","17.1","14.2","185.1","224.0","898.6","1276.5","177.7","178.2","222.4","96.5","56.7","151.7","152.3","189.6","192.9","85.6","43.8","215.5","215.8","280.1","285.4","110.3","75.8","106.8","84.7","136.3","31.8","4.5","36.4","114.3","22.6","22.7","32.0","32.6","10.0","0.0","12.5","21.6","1.4","1.7","14.3","20.9","95.1","115.5","16.6","16.7","22.1","22.4","9.9","0.0","10.2","61.3","1.6","1.6","47.4","66.5","225.8","373.4","48.1","48.4","60.2","61.4","23.4","20.9","19.8"
"Rhode Island","211.2","15570.0","7371636.0","1.4","13.3","190.3","1052.1","0.0","0.0","14.2","12.3","170.8","211.2","884.4","1291.3","176.7","179.0","128.6","113.2","142.5","149.7","151.9","108.4","127.6","78.5","104.8","218.1","220.5","162.5","187.2","156.2","212.8","92.1","76.1","118.0","26.5","3.3","29.7","103.1","20.4","20.8","20.2","23.4","0.0","0.0","9.3","18.7","0.0","1.7","12.5","16.3","92.7","104.6","15.2","15.5","9.3","10.9","18.0","0.0","7.6","60.7","2.0","1.7","51.5","64.2","247.9","379.8","51.7","53.0","33.7","39.5","25.5","0.0","15.0"
"South Carolina","202.6","65561.0","32366134.0","2.1","17.0","235.5","957.1","2.1","2.2","19.3","14.6","196.7","277.9","775.1","1195.1","175.1","176.1","211.2","88.1","102.2","144.0","144.5","165.0","163.3","84.8","80.2","218.2","219.9","287.6","283.7","92.9","135.2","83.9","79.8","88.9","27.6","5.2","40.7","95.9","20.8","20.8","29.6","29.3","0.0","0.0","11.4","17.8","1.6","1.9","17.1","26.8","73.4","93.6","14.8","15.0","21.4","21.1","6.8","0.0","6.3","60.1","2.0","1.7","52.2","91.3","212.9","393.9","54.3","54.8","49.4","48.7","23.4","40.8","19.2"
"South Dakota","196.2","11212.0","5714307.0","2.3","12.4","175.7","1007.1","0.0","3.2","13.0","11.9","162.8","188.3","860.7","1195.0","163.3","163.8","77.4","149.0","226.5","139.7","140.0","0.0","0.0","130.3","200.5","195.9","196.7","102.2","108.0","0.0","273.7","84.5","84.8","85.8","27.0","2.6","32.1","109.6","21.1","21.2","0.0","0.0","0.0","18.0","0.0","19.6","0.0","0.0","13.9","20.2","95.6","110.4","15.9","15.9","0.0","0.0","0.0","25.7","0.0","52.4","0.0","0.0","39.8","56.4","206.2","361.2","43.9","44.2","0.0","0.0","0.0","70.3","0.0"
"Tennessee","213.1","94678.0","44430836.0","2.4","17.7","245.2","1032.1","2.3","2.5","19.0","16.4","205.9","287.3","834.4","1294.7","189.4","190.9","231.6","93.5","62.0","153.7","154.9","185.2","186.3","88.6","59.1","239.3","241.3","310.2","312.2","101.9","68.9","56.0","48.3","64.9","27.3","4.5","38.2","101.8","21.2","21.4","33.9","34.1","7.1","0.0","6.5","19.5","1.9","2.2","18.4","26.9","82.7","107.4","16.9","17.0","26.0","26.2","9.1","0.0","3.3","68.5","2.3","2.5","60.2","101.0","248.4","461.5","61.5","62.1","62.1","62.5","25.8","21.3","8.8"
"Texas","145.8","257000.0","176270421.0","2.5","14.7","186.6","904.8","2.3","2.7","16.4","13.0","165.6","208.5","750.2","1104.0","162.5","172.6","208.6","94.4","36.2","136.2","145.4","171.3","174.1","83.2","30.4","198.5","209.3","268.6","272.5","109.2","45.1","128.9","106.6","160.2","21.0","4.4","34.8","93.5","20.2","21.4","32.5","33.2","9.8","5.2","16.1","13.8","1.3","1.6","14.8","23.0","71.6","98.8","14.9","15.4","23.7","24.0","9.6","4.8","13.3","38.1","1.0","1.0","35.8","54.3","200.0","331.9","42.9","50.1","54.1","54.9","22.2","9.0","20.8"
"Utah","98.5","19022.0","19321462.0","1.9","10.9","132.3","735.8","1.6","2.2","11.0","10.8","126.1","138.5","611.6","884.9","128.9","129.7","132.0","105.3","114.5","109.9","110.5","116.2","130.6","89.4","112.5","154.1","155.1","146.3","162.8","127.6","118.0","113.4","98.8","132.0","17.4","2.8","30.2","101.4","21.1","21.7","0.0","0.0","12.5","0.0","11.2","9.0","0.9","1.6","10.1","14.9","59.7","72.4","11.6","11.4","17.8","20.5","12.9","16.5","14.1","15.6","0.6","0.5","18.7","26.0","92.7","153.2","20.4","20.6","31.1","35.0","18.5","17.8","17.3"
"Vermont","211.6","9261.0","4377262.0","2.2","16.2","188.1","1002.8","0.0","0.0","15.7","16.8","175.4","201.2","872.8","1165.8","175.0","175.0","130.3","109.2","0.0","151.4","151.3","0.0","0.0","112.1","0.0","207.8","207.8","0.0","0.0","0.0","0.0","88.7","101.0","0.0","25.8","4.0","29.8","94.4","19.7","19.7","0.0","0.0","0.0","0.0","0.0","18.4","0.0","0.0","12.9","16.3","88.3","94.3","15.2","15.2","0.0","0.0","0.0","0.0","0.0","60.2","2.7","3.1","52.6","59.7","243.6","337.0","49.7","49.8","0.0","0.0","0.0","0.0","0.0"
"Virginia","177.1","99278.0","56054333.0","2.2","14.5","189.3","971.0","1.9","2.5","16.3","12.8","171.4","208.3","819.2","1170.7","168.9","170.7","208.0","98.8","68.6","144.5","145.9","169.6","169.5","84.5","49.7","203.5","205.8","271.5","271.2","119.6","96.5","95.0","90.1","104.1","26.1","4.7","37.6","102.6","21.5","21.8","32.0","32.0","9.9","0.0","11.6","15.6","1.6","1.8","14.0","20.4","77.3","93.2","14.3","14.5","21.5","21.5","9.1","0.0","8.7","49.8","1.3","1.4","42.3","63.4","226.2","359.8","48.7","49.5","52.6","52.7","23.7","17.0","15.3"
"Washington","175.9","82864.0","47114240.0","2.3","13.2","177.5","982.0","2.3","2.3","13.6","12.8","164.6","190.8","852.4","1142.0","171.3","173.5","189.0","120.1","167.8","149.4","151.3","153.7","157.1","103.4","147.4","201.4","204.0","233.7","237.5","146.7","195.4","102.1","87.9","120.1","23.7","3.3","31.3","102.0","21.2","21.8","24.2","25.0","11.4","17.0","8.5","14.9","1.2","1.4","12.6","18.2","77.2","89.1","14.3","14.5","17.3","17.7","10.7","17.8","9.0","46.8","1.1","1.4","39.5","49.4","241.1","317.9","46.3","47.2","46.6","47.8","29.0","43.4","18.2"
"West Virginia","254.6","32950.0","12940212.0","2.5","20.3","254.0","1068.9","2.2","2.7","22.8","17.9","222.5","286.3","889.6","1299.9","198.6","199.4","216.3","67.1","75.1","167.1","167.9","177.0","178.2","55.1","0.0","241.9","242.9","278.3","280.5","85.9","0.0","39.5","0.0","46.6","30.8","5.1","37.9","100.7","22.5","22.6","27.4","27.6","0.0","0.0","0.0","24.4","2.0","2.1","17.5","26.1","93.9","124.6","19.1","19.2","25.7","25.9","0.0","0.0","0.0","81.3","2.8","3.0","68.8","100.2","264.7","445.8","62.7","63.0","59.1","59.6","0.0","0.0","0.0"
"Wisconsin","197.5","78578.0","39788899.0","2.2","13.8","181.2","1028.1","2.1","2.2","15.1","12.5","168.2","194.2","869.5","1233.6","169.9","170.9","235.1","107.9","214.0","145.1","146.1","195.5","198.5","93.5","193.7","205.4","206.6","294.4","300.1","133.5","251.8","100.2","79.2","128.1","26.3","4.3","31.1","105.5","20.6","20.8","31.1","31.7","0.0","22.8","9.3","17.0","0.8","1.4","12.0","16.6","84.3","100.4","14.4","14.5","21.4","21.7","10.9","18.0","6.7","51.9","1.7","1.4","43.1","55.0","223.1","339.9","44.6","45.1","70.6","71.7","20.6","79.0","16.1"
"Wyoming","167.9","6603.0","3931624.0","0.0","11.8","168.3","924.9","0.0","0.0","13.2","10.4","162.5","174.0","803.4","1064.5","161.5","163.2","86.0","87.4","177.4","142.4","144.3","0.0","0.0","0.0","129.8","187.4","189.2","0.0","0.0","0.0","237.1","118.9","96.9","146.5","23.5","0.0","32.2","98.7","20.6","21.0","0.0","0.0","0.0","0.0","0.0","16.1","0.0","0.0","13.5","21.0","73.8","101.7","15.2","15.0","0.0","0.0","0.0","0.0","17.8","41.5","0.0","0.0","34.6","39.0","205.6","290.4","40.0","40.8","0.0","0.0","0.0","55.2","21.4"
