"Dimensions.Crest Elevation","Dimensions.Crest Length","Dimensions.Structural Height","Identity.Name","Identity.Watercourse","Location.County","Location.Latitude","Location.Longitude","Location.State","Identity.Project.Organization","Identity.Project.Year"
"6169.0","440.0","244.0","Kortes Dam","North Platte River","Carbon","42.17392","-106.881002","Wyoming","PSMBP-Kortes","1946"
"151.0","4780.0","43.0","Laguna Diversion Dam","Colorado River","Yuma, Ariz and Imperial, Calif","32.8233","-114.4972","Arizona and California","Yuma","1905"
"4174.0","1325.0","162.0","Lahontan Dam","Carson River","Churchill","36.27807901986153","-97.50189279297881","Nevada","Newlands","1911"
"4192.0","3100.0","44.0","Lake Alice No 1 Dam","Interstate Canal","Scotts Bluff","41.9728","-103.6286","Nebraska","North Platte","1910"
"4192.0","2550.0","33.0","Lake Alice No 1and 1 Half Dam","Interstate Canal","Scotts Bluff","41.9828","-103.597","Nebraska","North Platte","1910"
"4139.5","750.0","11.0","Lake Alice No 2 Dam","Lake Alice Feeder Canal","Scotts Bluff","41.9623003","-103.57258","Nebraska","North Platte","1908"
"4816.5","1224.0","116.5","Lake Sherburne Dam","Swiftcurrent Creek","Glacier","48.8285","-113.5213","Montana","Milk River","1914"
"6233.2","109.0","18.2","Lake Tahoe Dam","Truckee River","Placer","36.27807901986153","-97.50189279297881","California","Newlands","1909"
"567.0","2784.18","137.0","Lauro Dam","Diablo Creek","Santa Barbara","34.4542","-119.7264","California","Cachuma","1951"
"8167.0","1360.0","284.0","Lemon Dam","Florida River","La Plata","37.38170975228258","-107.66070485115051","Colorado","Florida","1961"
"1910.0","745.0","91.0","Lewiston Dam","Trinity River","Trinity","36.27807901986153","-97.50189279297881","California","CVP-Shasta/Trinity","1960"
"10207.0","2784.18","132.17","Lily Pad Diversion Inlet Dam","Ivanhoe Cr (Nast Tunnel)","Pitkin","39.15299","-106.32115","Colorado","Fryingpan-Arkansas","1970"
"4145.0","435.0","22.0","Link River Diversion Dam","Unknown","Unknown","36.27807901986153","-97.50189279297881","Unknown","Unknown","0"
"6640.0","220.0","43.0","Little Hell Creek Diversion Dam","Little Hell Creek","Larimer","40.3636","-105.32461","Colorado","Colorado-Big thompson","1952"
"676.0","2784.18","151.0","Little Panoche Detention Dam","Little Panoche Creek","Unknown","36.27807901986153","-97.50189279297881","Unknown","Unknown","0"
"5249.0","3100.0","129.0","Little Wood River Dam","Little Wood River","Blaine","43.4249051","-114.0292001","Idaho","Little Wood River","1936"
"384.0","1370.0","167.0","Los Banos Creek Detention Dam","Los Banos Creek","Merced","36.99","-120.0317","California","Central Valley","1964"
"6022.0","1078.0","248.4","Lost Creek Dam","Lost Creek","Morgan","41.184169080205045","-111.39918923377991","Utah","Weber Basin","1963"
"4094.5","300.0","26.0","Lost River Diversion Dam","Lost River","Klamath","36.27807901986153","-97.50189279297881","Oregon","Klamath","1912"
"1616.0","8500.0","93.0","Lovewell Dam","White Rock Creek","Jewell","39.885","-98.0283","Kansas","PSMBP-Bostwick","1955"
"1981.0","700.0","12.0","Lower Yellowstone Diversion Dam","Yellowstone","Dawson","47.2801","-104.5294","Montana","Lower Yellowstone","1910"
"4141.1","2784.18","132.17","Malone Diversion Dam","Lost River","Klamath","36.27807901986153","-97.50189279297881","Oregon","Klamath","1923"
"2903.0","1176.0","148.0","Mann Creek Dam","Mann Creek","Washington","44.392349","-116.895389","Idaho","Mann Creek","1965"
"3866.0","1622.0","35.0","Marble Bluff Dam","Little Truckee R.","Storey","36.27807901986153","-97.50189279297881","Nevada","Washoe","1975"
"72.0","1200.0","62.0","Martinez Dam","Offstream storage","Contra Costa","38.0117","-122.11","California","CVP-Delta","1946"
"8050.0","820.0","29.0","Marys Lake Dike Dam","Offstream","Larimer","40.34397","-105.53351","Colorado","Colorado-Big Thompson","0"
"4082.0","895.0","173.0","Mason Dam","Powder River","Baker","44.67335287","-118.00003","Oregon","Baker","1965"
"613.5","30.0","161.0","McGee Creek Dam","McGee Creek","Unknown","34.3331","-95.9151","Oklahoma","McGee Creek","1981"
"1330.0","2700.0","165.0","McKay Dam","McKay Creek","Umatilla, Morrow","45.605406","-118.7957668","Oregon","Umatilla Basin","1923"
"6936.0","1370.0","295.0","McPhee Dam","Dolores","Montezuma","37.57651247047376","-108.5723876953125","Colorado","Dolores","1983"
"2415.0","5665.0","165.0","Medicine Creek Dam","Medicine Creek","Frontier","40.3783","-100.2167","Nebraska","PSMBP-Frenchman-Cambridge","1948"
"8706.0","3162.0","185.0","Meeks Cabin Dam","Blacks Fork River","Unita","41.025328864161786","-110.57979583740234","Wyoming","Lyman","1966"
"2956.0","3222.0","132.17","Merritt Dam","Snake River","Cherry","42.63282","-100.86936","Nebraska","PSMBP-Ainsworth","1961"
"10055.0","43.0","10.0","Middle Cunningham Creek Diversion Dam","Cunningham Creek","Pitkin","39.1945","-106.332","Colorado","Fryingpan-Arkansas","1976"
"5268.0","663.0","54.0","Midview Dam","Offstream","Duschene","40.185283218249296","-110.16456842422485","Utah","Moon Lake","1935"
"10190.2","50.0","12.0","Midway Creek Diversion Dam","Midway Creek","Pitkin","39.1147","-106.4123","Colorado","Fryingpan-Arkansas","1976"
"4227.0","290.0","10.0","Miller Diversion Dam","Miller Creek","Klamath","36.27807901986153","-97.50189279297881","Oregon","Klamath","1924"
"4140.0","3760.0","114.0","Minatare Dam","Minatare Supply Canal","Scotts Bluff","41.9183","-103.4925","Nebraska","North Platte","1912"
"4250.0","4475.0","86.0","Minidoka Dam","Snake River","Minidoka & Cassia","42.66907","-113.484177","Idaho","Minidoka","1904"
"456.0","1023.0","304.0","Monticello Dam","Putah Creek","Yolo","38.513335","-122.104272","California","Solano","1953"
"8145.0","1108.0","101.0","Moon Lake Dam","Lake Fork River","Duchesne","40.560592955303996","-110.48898696899414","Utah","Moon Lake","1935"
"10098.0","41.0","10.0","Mormon Creek Diversion Dam","Mormon Creek","Pitkin","39.21193","-106.3269","Colorado","Fryingpan-Arkansas","1976"
"1666.0","380.0","224.0","Mormon Flat Dam","Salt River","Maricopa","33.5534","-111.443","Arizona","Salt River","1923"
"4141.1","4820.0","110.0","Mormon Island Auxilliary Dam","Blue Ravine","Sacramento","38.7081","-121.1222","California","CVP-Folsom Sly Park","1956"
"7165.0","724.0","468.0","Morrow Point Dam","Gunnison River","Montrose","38.45179852589292","-107.53812789916992","Colorado","Colorado River Storage","1963"
"1423.0","535.0","133.0","Mountain Park Dam","West Otter Creek","Kiowa","34.7386","-98.9875","Oklahoma","Mountain Park","1973"
"9652.0","2600.0","92.0","Mt Elbert Forebay Dam","Offstream","Lake","39.0833","-106.455","Colorado","Fryingpan-Arkansas","1977"
"6840.0","1021.0","150.0","Nambe Falls Dam","Rio Nambe","Sante Fe","35.84533186008363","-105.90581059455872","New Mexico","San Juan-Chama","1974"
"6108.0","3648.0","402.0","Navajo Dam","San Juan River","SanJuan, Rio Arriba","36.80236896863783","-107.61297225952148","New Mexico","Colorado River Storage","1957"
"2228.0","9900.0","28.0","Nelson Dam","Offstream Storage","Phillip","48.5334","-107.5221","Montana","Milk River","1914"
"1135.0","578.0","132.17","New Melones Dam","Stanislaus River","Calaveras","37.9528","-120.5167","California","CVP-New Melones","1966"
"1728.0","4900.0","440.0","New Waddell Dam","Agua Fria","Maricopa","33.8437","-112.266","Arizona","Central Arizona","1987"
"4781.0","3340.0","101.0","Newton Dam","Clarkson Creek","Cache","41.895464674413226","-111.97385787963867","Utah","Newton","1941"
"132.0","1093.0","87.0","Nimbus Dam","American River","Sacramento","38.6367","-121.2233","California","CVP-Folsom","1952"
"10170.5","26.0","13.0","No Name Creek Diversion Dam","No Name Creek","Pitkin","39.1119","-106.433","Colorado","Fryingpan-Arkansas","1976"
"1071.0","7220.0","144.0","Norman Dam","Little River","Clevelandand Oklahoma","35.2208","-97.2181","Oklahoma","Norman","1962"
"10087.5","38.6","132.17","North Cunningham Creek Diversion Dam","Cunningham Creek","Pitkin","39.20128","-106.32352","Colorado","Fryingpan-Arkansas","1976"
"1580.0","1450.0","145.0","North Dam","Offstream","Grant","47.9404295","-119.0172442","Washington","Columbia Basin","1946"
"10217.5","36.0","132.17","North Fork Diversion Dam","North Fork Creek","Eagle","39.21585","-106.32362","Colorado","Fryingpan-Arkansas","0"
"1329.9","375.0","15.0","Northside Diversion Dam","Stony Creek","Tehama","36.27807901986153","-97.50189279297881","California","Orland","1913"
"2347.0","6450.0","150.5","Norton Dam","Prairie Dog Creek","Norton","39.8067","-99.935","Kansas","PSMBP-Almena","1961"
"233.0","14300.0","87.5","O`Neill Dam","San Luis Creek","Merced","37.1167","-121.05","California","Central Valley","1963"
"1061.0","19000.0","200.0","O`Sullivan Dam","Lower Crab Creek","Grant","46.9806","-119.27","Washington","Columbia Basin","1947"
"3143.0","1300.0","152.0","Ochoco Dam","Ochoco Creek","Crook","44.29903","-120.72506","Oregon","Crooked River","1918"
"7481.0","320.0","70.0","Olympus Dam","Big Thompson River","Larimer","40.375","-105.4883","Colorado","Colorado-Big Thompson","1947"
"460.85","2784.18","131.0","Ortega Dam","Offstream Storage","Santa Barbara","34.4317","-119.5917","California","Cachuma","1953"
"2675.0","833.0","417.0","Owyhee Dam","Owyhee River","Malheur","43.6422","-117.2430896","Oregon","Owyhee","1928"
"4655.0","2236.0","245.0","Pactola Dam","Rapid Creek","Pennington","44.0717","-103.4883","South Dakota","PSMBP-Rapid Valley Unit","1952"
"5630.0","2100.0","270.0","Palisades Dam","SF of Snake River","Bonneville","43.332498","-111.202626","Idaho","Palisades","1951"
"296.0","150.0","50.0","Palo Verde Diversion Dam","Colorado River","La Paz, AZ; Riverside, CA","33.7325","-114.5107","Arizona and California","Palo Verde Diversion","1957"
"6460.0","770.0","199.0","Paonia Dam","Muddy Creek","Gunnison","38.941744639115996","-107.3532485961914","Colorado","Paonia","1959"
"2401.5","570.0","20.0","Paradise Diversion Dam","Milk River","Blaine","48.5663","-109.1901","Montana","Milk River","1966"
"455.0","856.0","320.0","Parker Dam","Colorado River","LaPaz, AZ; San Bernardino, CA","34.2966","-114.1394","Arizona and California","Parker-Davis","1934"
"5858.1","432.0","214.0","Pathfinder Dam","North Platte River","Natrona","42.4683","-106.8533","Wyoming","North Platte","1905"
"5868.1","1650.0","38.0","Pathfinder Dike Dam","North Platte River","Natrona","42.8075","-106.855","Wyoming","North Platte","1909"
"5467.0","55.0","64.0","Pilot Butte Dam","Offstream","Fremont","43.197","-108.7531","Wyoming","PSMBP-Riverton","1926"
"4908.0","600.0","137.0","Pineview Dam","Ogden River","Weber","41.25402401249621","-111.84270858764648","Utah","Ogden River","1934"
"1351.0","1900.0","130.0","Pinto Dam","Offstream Storage","Grant","47.4483","-119.2533","Washington","Columbia Basin","1946"
"4380.0","9050.0","12.0","Pishkun Dikes","Offstream Storage","Teton","47.6818","-112.5058","Montana","Sun River","1930"
"10048.0","1475.0","165.0","Platoro Dam","Conejos River","Conejos","37.35073917834847","-106.5483283996582","Colorado","San Luis Valley","1949"
"6597.25","220.0","32.0","Pole Hill Afterbay Dam","Little Hell Creek","Larimer","40.36642","-105.33156","Colorado","Colorado-Big Thompson","1953"
"5761.0","1830.0","163.0","Prosser Creek Dam","Prosser Creek","Placer","36.27807901986153","-97.50189279297881","California","Washoe","1959"
"4925.0","10230.0","250.0","Pueblo Dam","Arkansas River","Pueblo","38.2839","-104.73","Colorado","Fryingpan-Arkansas","1970"
"4141.1","2784.18","132.17","Putah Dam","Putah Creek","Yolo","36.27807901986153","-97.50189279297881","California","Solano","1957"
"1289.0","271.0","44.0","Rainbow Diversion Dam","Stony Creek","Colusa","36.27807901986153","-97.50189279297881","California","Orland","1914"
"4599.0","2220.0","35.0","Ralston Dam","Garland Canal","Unknown","44.72639","-108.86416","Wyoming","Shoshone","1908"
"6595.0","1951.0","130.0","Rattlesnake Dam","Rattlesnake Creek","Larimer","40.3708","-105.2889","Colorado","Colorado-Big thompson","1951"
"4141.1","2784.18","132.17","Red Bluff Diversion Dam","Sacramento River","Tehama","36.27807901986153","-97.50189279297881","California","CVP-Sacramento Canals","1964"
"5627.0","1670.0","175.0","Red Fleet Dam","Big Bush Creek","Uintah","40.580282627221635","-109.44219589233398","Utah","CUP-Jensen Unit","1977"
"4141.1","2784.18","132.17","Red Willow Creek Diversion Dam","Red Willow Creek","Red Willow","40.28167","-100.54177","Nebraska","PSMBP-Frenchman-Cambridge","1963"
"2634.0","3159.0","126.0","Red Willow Dam","Red Willow Creek","Frontier","40.3639","-100.6656","Nebraska","French-Cambridge (PSMBP)","1960"
"1813.0","2200.0","60.0","Reservoir A Dam","Offstream Storage - Lindsey Creek","Nez Perce","46.371998","-116.8574309","Idaho","Lewiston Orchards","1907"
"6888.5","2465.0","332.9","Ridgway Dam","Uncompahgre River","Ouray","38.19918230382011","-107.74206161499023","Colorado","Dallas Creek","1978"
"5978.0","1450.0","157.0","Rifle Gap Dam","Rifle Creek","Garfield","39.62720076390745","-107.76025772094727","Colorado","Silt","1964"
"5128.0","1070.0","253.0","Ririe Dam","Willow Creek","Bonneville","43.5833","-111.7425","Idaho","Ririe","1970"
"765.0","530.0","24.0","Robles Dam","Ventura River","Ventura","36.27807901986153","-97.50189279297881","California","Ventura River","1958"
"1205.0","486.0","67.0","Roza Diversion Dam","Yakima River","Kittitas","46.74923","-120.4658","Washington","Yakima","1939"
"7788.0","1042.0","285.0","Ruedi Dam","Fryingpan River","Eagle & Pitkin","39.3631","-106.8181","Colorado","Fryingpan-Arkansas","1964"
"4144.0","1074.0","78.0","Rye Patch Dam","Humboldt River","Pershing","40.4617","-118.3083","Nevada","Humboldt","1935"
"2325.5","1260.0","54.0","Salmon Lake Dam","Offstream Storage","Okanogan","48.56036","-119.74496","Washington","Okanogan","1919"
"4668.5","700.0","17.0","San Acacia Diversion Dam","Rio Grande","Socorro","36.27807901986153","-97.50189279297881","New Mexico","Middle Rio Grande","1934"
"508.5","1115.0","135.0","San Justo Dam","Offtream Storage","San Benito","36.27807901986153","-97.50189279297881","California","CVP-San Felipe Division","1987"
"3011.0","2784.18","228.0","Sanford Dam","Canadian River","Hutchinson","35.71367","-101.55251","Texas","Canadian River","1962"
"5443.0","328.0","30.0","Satanka Dike Dam","Offstream Storage","Larimer","40.59957","-105.17569","Colorado","Colorado-Big Thompson","1946"
"10084.5","20.0","6.0","Sawyer Diversion Dam","Sawyer Creek","Pitkin","39.15564","-106.38123","Colorado","Fryingpan-Arkansas","1970"
"7636.0","575.0","96.0","Scofield Dam","Price River","Carbon","39.786204925959254","-111.11949920654297","Utah","Scofield","1943"
"313.0","2700.0","151.0","Scoggins Dam","Scoggins Creek","Washington","45.4724","-123.19965","Oregon","Tualatin","1972"
"6361.0","530.0","295.0","Seminoe Dam","North Platte River","Carbon","42.1569","-106.9083","Wyoming","Kendrick","1936"
"265.0","2342.0","93.6","Senator Wash Dam","Offstream","Imperial","32.91","-114.4783","California","Colorado River Front Work & Levee System","1964"
"2318.0","12843.0","145.0","Shadehill Dam","Grand River","Perkins","45.7533","-102.2033","South Dakota","PSMBP-Shadehill","1949"
"8375.0","3077.0","63.0","Shadow Mountain Dam","Colorado River","Grand","40.20785","-105.84102","Colorado","Colorado-Big Thompson","1944"
"1077.5","3460.0","602.0","Shasta Dam","Sacramento River","Shasta","36.27807901986153","-97.50189279297881","California","CVP-Shasta/Trinity","1938"
"8939.0","1050.0","173.9","Silver Jack Dam","Cimarron Creek","Gunnison","38.23206979408184","-107.54310607910156","Colorado","Bostwick Park","1966"
"3482.0","760.0","190.0","Sly Park Dam","Sly Park Creek","El Dorado","38.7208","-120.56","California","CVP-Folsom Sly Park","1953"
"5443.0","1438.0","226.0","Soldier Canyon Dam","Offstream Storage","Larimer","40.5883","-105.1033","Colorado","Colorado-Big Thompson","1946"
"7612.0","1290.0","272.0","Soldier Creek Dam","Strawberry River","Wasatch","40.13579923864353","-111.02628707885742","Utah","CUP - Bonneville Unit","1970"
"4529.0","630.0","69.0","Soldiers Meadow Dam","Webb Creek","NezPerce","46.16727","-116.7367","Idaho","Lewiston Orchards","1923"
"10539.0","20.0","132.17","South Cunningham Creek Diversion Dam","Cunningham Creek","Pitkin","39.19271","-106.33298","Colorado","Fryingpan-Arkansas","1976"
"10003.0","20.0","13.0","South Fork Diversion Dam","Fryingpan-Arkansas","Pitkin","39.14158","-106.35222","Colorado","Fryingpan-Arkansas","1965"
"5443.0","1840.0","155.0","Spring Canyon Dam","Offstream Storage","Larimer","40.53","-105.135","Colorado","Colorado-Big Thompson","1946"
"816.0","1110.0","196.0","Spring Creek Debris Dam","Spring Creek","Shasta","36.27807901986153","-97.50189279297881","California","CVP-Shasta/Trinity","1961"
"4457.5","198.0","6.0","St. Mary Diversion Dam","St. Mary River","Glacier","48.8521","-113.4169","Montana","Milk River","1915"
"5974.0","1511.0","239.0","Stampede Dam","Little Truckee R.","Sierra","39.1078","-120.11","California","Washoe","1966"
"5725.0","3070.0","200.3","Starvation Dam","Strawberry River","Duchesne","40.18875731912906","-110.44418334960938","Utah","CUP-Bonneville Unit","1970"
"9176.0","2800.0","143.0","Stateline Dam","East Fork of Smiths Fork","Summit","40.99","-110.39","Utah","Lyman","1977"
"5527.0","1997.0","162.2","Steinaker Dam","Offstream","Uintah","40.50566599541602","-109.53094482421875","Utah","CUP-Vernal Unit","1959"
"1533.0","1260.0","207.0","Stewart Mountain Dam","Salt River","Maricopa","33.5666","-111.5361","Arizona","Salt River","1928"
"847.0","868.0","139.0","Stony Gorge Dam","Stony Creek","Glenn","36.27807901986153","-97.50189279297881","California","Orland","1926"
"9879.0","2020.0","135.0","Sugar Loaf Dam","Lake Fork of the Arkansas","Lake","39.2517","-106.3733","Colorado","Fryingpan-Arkansas","1965"
"4301.0","3675.0","164.0","Sumner Dam","Pecos River","De Baca","34.60716840001175","-104.38758373260498","New Mexico","Carlsbad","1936"
"4474.0","261.0","132.0","Sun River Diversion Dam","North Fork Sun River","Teton, Lewis and Clark","47.6211","-112.7066","Montana","Sun River","1915"
"4141.1","2784.18","132.17","Superior Courtland Diversion Dam","Republican River","Webster","40.06759","-98.37712","Nebraska","PSMBP-Bostwick","1950"
"4485.0","4800.0","13.0","Swift Current Dike","St. Mary River","Glacier","48.5107","-113.2501","Montana","Milk River","1915"
"9343.0","675.0","206.8","Taylor Park Dam","Taylor River","Gunnison","38.818001324034284","-106.60652160644531","Colorado","Uncompahgre","1935"
"90.0","870.0","24.0","Terminal Dam","Offstream Storage","Solano","36.27807901986153","-97.50189279297881","California","Solano","1959"
"2218.0","1210.0","357.0","Theodore Roosevelt Dam","Salt River","Maricopa, Gila","33.6718","-111.1613","Arizona","Salt River","1903"
"3143.0","390.0","73.0","Thief Valley Dam","Powder River","Baker, Union","45.012996","-117.7810764","Oregon","Baker, Union","1931"
"404.3","915.0","24.0","Three Mile Falls Diversion Dam","Umatilla River","Umatilla","45.882972","-119.3245482","Oregon","Umatilla Basin","1914"
"3026.0","4300.0","211.0","Tiber Dam","Marias River","Liberty","48.3222","-111.0969","Montana","Lower Marias","1952"
"2935.0","920.0","319.0","Tieton Dam","Tieton river","Yakina","46.657198","-121.12808","Washington","Yakima","1917"
"2793.0","8600.0","144.0","Trenton Dam","Republican River","Hitchcock","40.17","-101.06","Nebraska","PSMBP-Frenchman-Cambridge","1949"
"2395.0","2450.0","538.0","Trinity Dam","Trinity River","Trinity","36.27807901986153","-97.50189279297881","California","CVP-ShastaTrinity","1957"
"4000.0","205.0","11.0","Tub Springs Creek Diversion Dam","Tub springs Creek","Scotts Bluff","41.85086","-103.68886","Nebraska","North Platte","0"
"1991.0","42460.0","134.0","Twin Buttes Dam","Spring Creek","Tom Green","31.3767","-100.5333","Texas","San Angelo","1960"
"9210.0","3150.0","132.17","Twin Lakes Dam","Lake Creek","Lake","39.0833","-106.4617","Colorado","Fryingpan-Arkansas","1978"
"692.0","1804.0","241.0","Twitchell Dam","Cuyama River","San Luis Obispo","34.9778","-120.3167","California","Santa Maria","1956"
"3827.3","694.0","82.0","Unity Dam","Burnt River","Baker","44.5042","-118.1806","Oregon","Burnt River","1936"
"4560.0","88.0","18.0","Upper Slaven Diversion Dam","Humboldt","Lander","36.27807901986153","-97.50189279297881","Nevada","Humboldt","1958"
"8180.0","2660.0","310.0","Upper Stillwater Dam","Rock Creek","Duchesne","40.56","-110.6992","Utah","CUP-Bonneville Unit","1983"
"7673.0","4010.0","162.0","Vallecito Dam","Pine River (Los Pinos)","La Plata","37.37775337577529","-107.57537841796875","Colorado","Pine River","1938"
"2116.0","2350.0","32.0","Vandalia Diversion Dam","Milk River","Valley","48.3727","-106.9749","Montana","Milk River","1917"
"7997.0","2100.0","162.0","Vega Dam","Plateau Creek","Mesa","39.222990274902536","-107.81081199645996","Colorado","Collbran","1957"
"2259.0","147.0","96.0","Virginia Smith Dam","Calamus River","Garfield and Loup","41.8333","-99.2","Nebraska","PSMBP-North Loup","1985"
"6055.0","2015.0","175.0","Wanship Dam","Weber River","Summit","40.788558849975054","-111.40548706054688","Utah","Weber Basin","1954"
"3409.0","469.0","106.0","Warm Springs Dam","Middle Fork of the Malheur River","Malheur","43.58505","-118.2092857","Oregon","Vale","1918"
"3526.0","415.0","59.0","Wasco Dam","Clear Creek","Wasco","45.1748403","-121.6895197","Oregon","Wapinitia","1958"
"1944.0","1944.0","154.0","Webster Dam","SF of Solomon Rive","Rooks","39.4083","-99.4217","Kansas","PSMBP-Webster","1953"
"4292.0","2460.0","35.0","Whalen Diversion Dam","North Platte River","Goshen","42.24766","-104.62908","Wyoming","North Platte","1909"
"1228.0","4000.0","282.0","Whiskeytown Dam","Clear Creek","Shasta","36.27807901986153","-97.50189279297881","California","CVP-Shasta/Trinity","1960"
"4347.0","13860.0","100.0","Wickiup Dam","Deschutes River","Deschutes","43.6953977","-121.7039162","Oregon","Deschutes","1939"
"8140.0","1100.0","127.0","Willow Creek Co Dam","Willow Creek","Grand","40.1467","-105.9417","Colorado","Colorado-Big Thompson","1951"
"4154.0","650.0","93.0","Willow Creek Dam","Willow Creek","Lewis and Clark","45.7138","-111.6998","Montana","Sun River","1907"
"4514.0","476.0","70.0","Willwood Diversion Dam","Shoshone River","Park","44.67157","-108.90976","Wyoming","Shoshone","1924"
"5581.25","2464.0","37.0","Wind River Diversion Dam","Wind River","Fremont","43.22476","-108.95534","Wyoming","PSMBP - Riverton Unit","1921"
"1700.0","151.0","30.0","Woodston Diversion Dam","Solomon River","Rooks","39.4486","-99.1331","Kansas","PSMBP-Webster","1957"
"3004.0","325.0","10.5","Yellowstone River Diversion Dam","Yellowstone River","Yellowstone","45.87454673186175","-108.34865927696228","Montana","Huntley","1934"
"3197.5","1360.0","72.0","Yellowtail Afterbay Dam","Bighorn River","Big Horn","45.31620533823279","-107.92131900787354","Montana","Yellowtail Unit, Pick-Sloan Missouri River Basin Program","1964"
"3660.0","1480.0","525.0","Yellowtail Dam","Bighorn River","Big Horn","45.3068700743631","-107.95775413513184","Montana","Yellowtail Unit, Pick-Sloan Missouri River Basin Program","1963"
