"Year","Brand","Data.Content.Funny","Data.Content.Shows Product","Data.Content.Patriotic","Data.Content.Celebrity","Data.Content.Danger","Data.Content.Animals","Data.Content.Sexual","Data.Viewership.Views","Data.Viewership.Likes","Data.Viewership.Dislikes","Data.Title"
"2000","Budweiser","True","True","True","True","True","True","True","3624622","24840","521","1498"
"2000","Budweiser","True","True","True","True","True","True","True","111442","163","5","8"
"2000","E-Trade","True","True","True","True","True","True","True","9036","51","2","7"
"2000","E-Trade","True","True","True","True","True","True","True","67182","121","4","6"
"2000","Budweiser","True","True","True","True","True","True","True","5264","10","1","1"
"2000","Bud Light","True","True","True","True","True","True","True","6641","7","1","1"
"2001","Budweiser","True","True","True","True","True","True","True","77142","334","4","71"
"2001","Pepsi","True","True","True","True","True","True","True","65162","109","4","38"
"2001","Bud Light","True","True","True","True","True","True","True","60774","269","10","18"
"2001","Budweiser","True","True","True","True","True","True","True","50088","151","3","16"
"2001","E-Trade","True","True","True","True","True","True","True","6513","12","4","3"
"2001","E-Trade","True","True","True","True","True","True","True","103433","167","7","3"
"2001","Pepsi","True","True","True","True","True","True","True","1475","14","0","2"
"2001","Bud Light","True","True","True","True","True","True","True","2801","9","0","1"
"2001","Doritos","True","True","True","True","True","True","True","2985","15","0","1"
"2001","Pepsi","True","True","True","True","True","True","True","12106","10","1","1"
"2001","Bud Light","True","True","True","True","True","True","True","998","3","0","0"
"2001","Pepsi","True","True","True","True","True","True","True","788","4","2","0"
"2002","Pepsi","True","True","True","True","True","True","True","385777","5929","73","261"
"2002","Budweiser","True","True","True","True","True","True","True","121400","642","10","50"
"2002","Bud Light","True","True","True","True","True","True","True","63129","178","5","15"
"2002","Budweiser","True","True","True","True","True","True","True","38574","199","7","8"
"2002","Bud Light","True","True","True","True","True","True","True","67452","270","15","7"
"2002","Bud Light","True","True","True","True","True","True","True","4641","19","0","2"
"2002","Bud Light","True","True","True","True","True","True","True","3548","13","0","0"
"2002","E-Trade","True","True","True","True","True","True","True","1361","9","0","0"
"2002","Budweiser","True","True","True","True","True","True","True","13245","49","3","0"
"2003","Bud Light","True","True","True","True","True","True","True","177285","229","10","32"
"2003","Bud Light","True","True","True","True","True","True","True","175482","268","15","32"
"2003","NFL","True","True","True","True","True","True","True","18670","42","1","4"
"2003","Bud Light","True","True","True","True","True","True","True","13741","20","3","2"
"2003","Bud Light","True","True","True","True","True","True","True","147160","53","15","2"
"2003","Budweiser","True","True","True","True","True","True","True","2732","8","0","1"
"2003","Bud Light","True","True","True","True","True","True","True","3754","18","1","1"
"2003","Bud Light","True","True","True","True","True","True","True","16083","60","3","1"
"2003","Budweiser","True","True","True","True","True","True","True","21813","10","0","0"
"2003","Budweiser","True","True","True","True","True","True","True","27378","18","2","0"
"2004","Budweiser","True","True","True","True","True","True","True","1939823","3744","108","279"
"2004","Budweiser","True","True","True","True","True","True","True","327529","803","42","73"
"2004","Bud Light","True","True","True","True","True","True","True","3739","115","1","59"
"2004","Toyota","True","True","True","True","True","True","True","112297","640","9","52"
"2004","Pepsi","True","True","True","True","True","True","True","179695","295","12","37"
"2004","Budweiser","True","True","True","True","True","True","True","88458","351","6","30"
"2004","Pepsi","True","True","True","True","True","True","True","55676","222","9","26"
"2004","Bud Light","True","True","True","True","True","True","True","88445","118","6","8"
"2004","Bud Light","True","True","True","True","True","True","True","561","6","0","1"
"2004","Bud Light","True","True","True","True","True","True","True","39730","37","1","1"
"2004","Bud Light","True","True","True","True","True","True","True","5699","27","1","0"
"2005","Pepsi","True","True","True","True","True","True","True","43983","93","5","13"
"2005","Bud Light","True","True","True","True","True","True","True","8990","29","0","3"
"2005","Bud Light","True","True","True","True","True","True","True","16997","69","3","2"
"2005","Bud Light","True","True","True","True","True","True","True","3183","4","0","1"
"2005","Bud Light","True","True","True","True","True","True","True","3183","4","0","1"
"2005","Bud Light","True","True","True","True","True","True","True","3183","4","0","1"
"2005","Bud Light","True","True","True","True","True","True","True","3183","4","0","1"
"2005","Pepsi","True","True","True","True","True","True","True","111","0","0","0"
"2005","Pepsi","True","True","True","True","True","True","True","293","3","0","0"
"2006","Budweiser","True","True","True","True","True","True","True","746836","2179","78","95"
"2006","Pepsi","True","True","True","True","True","True","True","69440","70","7","11"
"2006","Pepsi","True","True","True","True","True","True","True","6430","45","0","10"
"2006","Budweiser","True","True","True","True","True","True","True","120196","167","15","10"
"2006","Budweiser","True","True","True","True","True","True","True","85274","78","16","10"
"2006","Bud Light","True","True","True","True","True","True","True","95355","328","14","9"
"2006","Bud Light","True","True","True","True","True","True","True","142310","129","15","9"
"2007","Bud Light","True","True","True","True","True","True","True","955616","1301","134","194"
"2007","Doritos","True","True","True","True","True","True","True","1683994","2508","861","160"
"2007","Toyota","True","True","True","True","True","True","True","286010","221","62","114"
"2007","Coca-Cola","True","True","True","True","True","True","True","249186","452","49","75"
"2007","Doritos","True","True","True","True","True","True","True","292010","244","74","52"
"2007","Bud Light","True","True","True","True","True","True","True","72997","86","30","33"
"2007","Bud Light","True","True","True","True","True","True","True","218329","309","8","29"
"2007","Bud Light","True","True","True","True","True","True","True","177497","392","9","28"
"2007","E-Trade","True","True","True","True","True","True","True","97247","97","22","23"
"2007","Budweiser","True","True","True","True","True","True","True","184689","133","24","13"
"2007","Budweiser","True","True","True","True","True","True","True","48035","47","2","1"
"2007","Coca-Cola","True","True","True","True","True","True","True","11311","29","3","1"
"2007","Budweiser","True","True","True","True","True","True","True","186","0","0","0"
"2007","Bud Light","True","True","True","True","True","True","True","162","0","0","0"
"2008","Bud Light","True","True","True","True","True","True","True","1060001","1384","121","180"
"2008","Bud Light","True","True","True","True","True","True","True","729583","588","180","119"
"2008","Doritos","True","True","True","True","True","True","True","232124","988","31","96"
"2008","Bud Light","True","True","True","True","True","True","True","598260","755","54","83"
"2008","Pepsi","True","True","True","True","True","True","True","236941","594","14","65"
"2008","Bud Light","True","True","True","True","True","True","True","555734","414","58","45"
"2008","Coca-Cola","True","True","True","True","True","True","True","62538","217","4","29"
"2008","Bud Light","True","True","True","True","True","True","True","166102","161","10","24"
"2008","Hynudai","True","True","True","True","True","True","True","13312","18","11","24"
"2008","Budweiser","True","True","True","True","True","True","True","110004","300","7","21"
"2008","Coca-Cola","True","True","True","True","True","True","True","14267","36","2","7"
"2008","Bud Light","True","True","True","True","True","True","True","24595","26","3","5"
"2008","Bud Light","True","True","True","True","True","True","True","9335","12","1","1"
"2009","Coca-Cola","True","True","True","True","True","True","True","1452877","3511","296","523"
"2009","Doritos","True","True","True","True","True","True","True","640393","1921","215","208"
"2009","Hynudai","True","True","True","True","True","True","True","373684","585","178","118"
"2009","Coca-Cola","True","True","True","True","True","True","True","503550","1490","296","88"
"2009","E-Trade","True","True","True","True","True","True","True","358142","763","24","51"
"2009","Pepsi","True","True","True","True","True","True","True","129399","345","12","42"
"2009","Budweiser","True","True","True","True","True","True","True","302143","527","15","36"
"2009","Bud Light","True","True","True","True","True","True","True","54079","171","7","25"
"2009","Coca-Cola","True","True","True","True","True","True","True","45799","99","7","21"
"2009","Budweiser","True","True","True","True","True","True","True","49339","67","2","8"
"2009","Doritos","True","True","True","True","True","True","True","41379","103","9","7"
"2009","Bud Light","True","True","True","True","True","True","True","30123","33","2","6"
"2009","Doritos","True","True","True","True","True","True","True","20130","46","6","4"
"2009","Pepsi","True","True","True","True","True","True","True","1294","7","0","2"
"2009","Hynudai","True","True","True","True","True","True","True","7253","6","1","0"
"2010","E-Trade","True","True","True","True","True","True","True","1046640","1206","58","204"
"2010","Doritos","True","True","True","True","True","True","True","219464","1136","28","94"
"2010","Hynudai","True","True","True","True","True","True","True","176547","306","11","84"
"2010","NFL","True","True","True","True","True","True","True","91378","404","14","32"
"2010","Bud Light","True","True","True","True","True","True","True","85454","120","3","24"
"2010","Bud Light","True","True","True","True","True","True","True","34565","100","6","15"
"2010","Doritos","True","True","True","True","True","True","True","132054","273","18","15"
"2010","Kia","True","True","True","True","True","True","True","50850","92","4","11"
"2010","Hynudai","True","True","True","True","True","True","True","68458","46","14","8"
"2010","Doritos","True","True","True","True","True","True","True","11608","22","0","3"
"2010","Bud Light","True","True","True","True","True","True","True","3805","9","0","1"
"2010","Budweiser","True","True","True","True","True","True","True","42","1","0","0"
"2011","Coca-Cola","True","True","True","True","True","True","True","113771","235","8","29"
"2011","Doritos","True","True","True","True","True","True","True","122388","561","8","25"
"2011","Kia","True","True","True","True","True","True","True","36832","200","7","12"
"2011","Pepsi","True","True","True","True","True","True","True","204026","476","159","9"
"2011","Coca-Cola","True","True","True","True","True","True","True","87396","53","2","2"
"2011","Hynudai","True","True","True","True","True","True","True","319","0","0","0"
"2011","Hynudai","True","True","True","True","True","True","True","92","1","0","0"
"2011","Hynudai","True","True","True","True","True","True","True","56","0","0","0"
"2011","Bud Light","True","True","True","True","True","True","True","350","1","1","0"
"2012","Doritos","True","True","True","True","True","True","True","176373378","275362","92990","1234"
"2012","Coca-Cola","True","True","True","True","True","True","True","22849816","92333","42386","592"
"2012","Pepsi","True","True","True","True","True","True","True","582575","1526","138","304"
"2012","Budweiser","True","True","True","True","True","True","True","220292","572","100","271"
"2012","NFL","True","True","True","True","True","True","True","403641","1980","42","206"
"2012","Toyota","True","True","True","True","True","True","True","116294","1153","13","56"
"2012","Kia","True","True","True","True","True","True","True","56257","396","5","42"
"2012","Bud Light","True","True","True","True","True","True","True","21314","29","5","14"
"2012","Doritos","True","True","True","True","True","True","True","86928","130","12","6"
"2012","Coca-Cola","True","True","True","True","True","True","True","10925","71","18","3"
"2012","Coca-Cola","True","True","True","True","True","True","True","15776","63","4","2"
"2012","E-Trade","True","True","True","True","True","True","True","21","0","0","0"
"2012","Hynudai","True","True","True","True","True","True","True","1264","2","0","0"
"2012","Budweiser","True","True","True","True","True","True","True","10","0","0","0"
"2012","Bud Light","True","True","True","True","True","True","True","14579","42","1","0"
"2013","Doritos","True","True","True","True","True","True","True","576696","2541","94","150"
"2013","Budweiser","True","True","True","True","True","True","True","246619","2225","64","67"
"2013","Kia","True","True","True","True","True","True","True","28847","154","10","30"
"2013","Hynudai","True","True","True","True","True","True","True","4302","22","0","2"
"2013","Hynudai","True","True","True","True","True","True","True","3667","7","2","1"
"2013","Kia","True","True","True","True","True","True","True","10338","39","2","1"
"2013","Bud Light","True","True","True","True","True","True","True","394","1","0","0"
"2013","Budweiser","True","True","True","True","True","True","True","236","1","0","0"
"2013","Pepsi","True","True","True","True","True","True","True","987","2","0","0"
"2013","Hynudai","True","True","True","True","True","True","True","1190","5","0","0"
"2013","Budweiser","True","True","True","True","True","True","True","1171","5","2","0"
"2014","Doritos","True","True","True","True","True","True","True","7952240","18729","1430","607"
"2014","Coca-Cola","True","True","True","True","True","True","True","92878","450","88","139"
"2014","Bud Light","True","True","True","True","True","True","True","134186","405","27","29"
"2014","Toyota","True","True","True","True","True","True","True","25834","140","5","18"
"2014","Kia","True","True","True","True","True","True","True","17209","198","2","10"
"2014","Budweiser","True","True","True","True","True","True","True","81183","232","38","10"
"2014","Doritos","True","True","True","True","True","True","True","10929","37","3","5"
"2014","Hynudai","True","True","True","True","True","True","True","32557","202","7","5"
"2014","Bud Light","True","True","True","True","True","True","True","9649","32","2","1"
"2014","Hynudai","True","True","True","True","True","True","True","1874","20","0","0"
"2014","Coca-Cola","True","True","True","True","True","True","True","3900","14","3","0"
"2015","Doritos","True","True","True","True","True","True","True","1274288","2031","149","201"
"2015","Doritos","True","True","True","True","True","True","True","2319854","2746","203","184"
"2015","Budweiser","True","True","True","True","True","True","True","491630","2327","37","104"
"2015","Coca-Cola","True","True","True","True","True","True","True","48617","331","18","42"
"2015","Toyota","True","True","True","True","True","True","True","32091","266","6","15"
"2015","Budweiser","True","True","True","True","True","True","True","79","0","0","0"
"2015","Pepsi","True","True","True","True","True","True","True","998","3","0","0"
"2015","Budweiser","True","True","True","True","True","True","True","7621","14","2","0"
"2016","NFL","True","True","True","True","True","True","True","4921309","20690","2015","1828"
"2016","Coca-Cola","True","True","True","True","True","True","True","6428474","58957","2673","813"
"2016","Doritos","True","True","True","True","True","True","True","1214968","2534","60","226"
"2016","Hynudai","True","True","True","True","True","True","True","156718","1243","24","57"
"2016","Pepsi","True","True","True","True","True","True","True","40818","320","19","13"
"2016","Kia","True","True","True","True","True","True","True","14395","86","1","6"
"2016","Hynudai","True","True","True","True","True","True","True","11074","91","5","3"
"2016","Hynudai","True","True","True","True","True","True","True","5049","40","3","1"
"2016","Budweiser","True","True","True","True","True","True","True","136","0","0","0"
"2017","Budweiser","True","True","True","True","True","True","True","28785122","48423","17113","9190"
"2017","NFL","True","True","True","True","True","True","True","310443","2215","323","376"
"2017","NFL","True","True","True","True","True","True","True","865781","2315","130","162"
"2017","Kia","True","True","True","True","True","True","True","87687","589","22","32"
"2017","Hynudai","True","True","True","True","True","True","True","907","8","0","1"
"2018","NFL","True","True","True","True","True","True","True","3464175","20508","556","1373"
"2018","Pepsi","True","True","True","True","True","True","True","669906","2849","181","324"
"2018","Toyota","True","True","True","True","True","True","True","353513","1448","222","231"
"2018","Bud Light","True","True","True","True","True","True","True","33766","144","23","17"
"2018","Doritos","True","True","True","True","True","True","True","23327","333","6","16"
"2018","E-Trade","True","True","True","True","True","True","True","34440","178","11","15"
"2018","Bud Light","True","True","True","True","True","True","True","41441","224","7","9"
"2018","Budweiser","True","True","True","True","True","True","True","39897","138","8","8"
"2018","Coca-Cola","True","True","True","True","True","True","True","301","2","0","1"
"2018","Hynudai","True","True","True","True","True","True","True","198","2","0","0"
"2018","Coca-Cola","True","True","True","True","True","True","True","179","1","0","0"
"2018","Kia","True","True","True","True","True","True","True","16399","219","3","0"
"2019","Bud Light","True","True","True","True","True","True","True","7658201","94799","12789","7431"
"2019","NFL","True","True","True","True","True","True","True","77720","680","15","82"
"2019","Pepsi","True","True","True","True","True","True","True","69050","773","37","65"
"2019","Coca-Cola","True","True","True","True","True","True","True","81952","417","56","53"
"2019","Doritos","True","True","True","True","True","True","True","41828","683","14","46"
"2019","Pepsi","True","True","True","True","True","True","True","128792","961","15","35"
"2019","Bud Light","True","True","True","True","True","True","True","36683","65","117","32"
"2019","Toyota","True","True","True","True","True","True","True","6713","68","5","29"
"2019","Toyota","True","True","True","True","True","True","True","4873","32","14","5"
"2019","Bud Light","True","True","True","True","True","True","True","125","2","0","0"
"2019","Kia","True","True","True","True","True","True","True","518","2","1","0"
"2019","Hynudai","True","True","True","True","True","True","True","38968","216","15","0"
"2020","NFL","True","True","True","True","True","True","True","26727063","175429","7445","8441"
"2020","Doritos","True","True","True","True","True","True","True","1990447","10717","576","319"
"2020","Coca-Cola","True","True","True","True","True","True","True","304254","1470","384","227"
"2020","Hynudai","True","True","True","True","True","True","True","38385","342","7","30"
"2020","Pepsi","True","True","True","True","True","True","True","29219","146","38","29"
"2020","Bud Light","True","True","True","True","True","True","True","47752","485","14","14"
"2020","Toyota","True","True","True","True","True","True","True","23636","115","11","13"
"2020","Kia","True","True","True","True","True","True","True","17892","78","6","6"
"2020","Budweiser","True","True","True","True","True","True","True","782","7","0","0"
