"State","Population.Population Percent Change","Population.2014 Population","Population.2010 Population","Age.Percent Under 5 Years","Age.Percent Under 18 Years","Age.Percent 65 and Older","Miscellaneous.Percent Female","Ethnicities.White Alone","Ethnicities.Black Alone","Ethnicities.American Indian and Alaska Native Alone","Ethnicities.Asian Alone","Ethnicities.Native Hawaiian and Other Pacific Islander Alone","Ethnicities.Two or More Races","Ethnicities.Hispanic or Latino","Ethnicities.White Alone, not Hispanic or Latino","Miscellaneous.Veterans","Miscellaneous.Foreign Born","Housing.Housing Units","Housing.Homeownership Rate","Housing.Median Value of Owner-Occupied Units","Housing.Households","Housing.Persons per Household","Miscellaneous.Living in Same House +1 Years","Miscellaneous.Language Other than English at Home","Housing.Households with a computer","Housing.Households with a Internet","Education.High School or Higher","Education.Bachelor's Degree or Higher","Miscellaneous.Percent Under 66 Years With a Disability","Miscellaneous.Percent Under 65 Years Witout Health insurance","Sales.Accommodation and Food Services Sales","Miscellaneous.Manufacturers Shipments","Sales.Retail Sales","Miscellaneous.Mean Travel Time to Work","Income.Median Houseold Income","Income.Per Capita Income","Income.Persons Below Poverty Level","Employment.Nonemployer Establishments","Employment.Firms.Total","Employment.Firms.Men-Owned","Employment.Firms.Women-Owned","Employment.Firms.Minority-Owned","Employment.Firms.Nonminority-Owned","Employment.Firms.Veteran-Owned","Employment.Firms.Nonveteran-Owned","Population.Population per Square Mile","Miscellaneous.Land Area"
"Connecticut","-10.2","3605944","3574097","5.1","20.4","17.7","51.2","79.7","12.2","0.6","5.0","0.1","2.5","16.9","65.9","167521","14.6","1524992","66.1","275400","1370746","2.53","87.9","22.3","90.8","85.5","90.6","39.3","7.4","7.0","9542068","55160095","51632467","26.6","78444","44496","10.0","286874","326693","187845","106678","56113","259614","31056","281182","738.1","4842.36"
"Delaware","8.4","989948","897934","5.6","20.9","19.4","51.7","69.2","23.2","0.7","4.1","0.1","2.7","9.6","61.7","65438","9.6","443781","71.2","251100","363322","2.57","87.4","13.3","91.6","85.0","90.0","32.0","8.7","8.1","2148437","22597384","14456001","26.3","68287","35450","11.3","68623","73418","38328","23964","14440","54782","7206","60318","460.8","1948.54"
"District of Columbia","17.3","689545","601723","6.4","18.2","12.4","52.6","46.0","46.0","0.6","4.5","0.1","2.9","11.3","37.5","26156","13.7","322793","41.6","601500","284386","2.3","80.5","17.2","91.8","82.6","90.9","58.5","8.5","3.9","5101602","309832","4439933","30.8","86420","56147","13.5","62583","63408","30237","27064","29983","29521","5070","54217","9856.5","61.05"
"Florida","14.2","21538187","18801310","5.3","19.7","20.9","51.1","77.3","16.9","0.5","3.0","0.1","2.2","26.4","53.2","1440338","20.7","9673682","65.4","215300","7736311","2.65","84.5","29.4","91.5","83.0","88.2","29.9","8.6","16.3","49817925","96924106","273867145","27.8","55660","31619","12.7","2388050","2100187","1084885","807817","926112","1121749","185756","1846686","350.6","53624.76"
"Georgia","9.6","10711908","9687653","6.2","23.6","14.3","51.4","60.2","32.6","0.5","4.4","0.1","2.2","9.9","52.0","629302","10.1","4378391","63.3","176000","3758798","2.7","84.9","14.0","90.2","81.3","87.1","31.3","8.7","15.5","18976611","155836792","119801495","28.8","58700","31067","13.3","955621","929864","480578","376506","371588","538893","96787","800585","168.4","57513.49"
"Hawaii","4.1","1455271","1360301","6.0","21.2","19.0","50.0","25.5","2.2","0.4","37.6","10.1","24.2","10.7","21.7","101975","18.5","550273","58.9","615300","459424","3.0","86.6","26.6","91.2","84.8","92.0","33.0","6.4","5.0","9536706","-11","18901745","27.5","81275","35567","9.3","112589","118454","60409","44453","74208","38510","11148","101334","211.8","6422.63"
"Alabama","2.6","5024279","4779736","6.0","22.2","17.3","51.7","69.1","26.8","0.7","1.5","0.1","1.8","4.6","65.3","330207","3.5","2284847","68.8","142700","1867893","2.55","86.3","5.3","85.5","76.4","86.2","25.5","11.6","11.7","7576462","124809759","58564965","24.9","50536","27928","15.5","336445","374153","203604","137630","92219","272651","41943","316984","94.4","50645.33"
"Alaska","3.0","733391","710231","7.0","24.6","12.5","47.9","65.3","3.7","15.6","6.5","1.4","7.5","7.3","60.2","65186","7.8","319854","64.3","270400","253346","2.8","82.1","16.1","94.1","85.5","92.8","29.6","8.9","13.9","2221335","-11","10474275","19.1","77640","36787","10.1","57391","68032","35402","22141","13688","51147","7953","56091","1.2","570640.95"
"Arizona","13.9","7151502","6392017","5.9","22.5","18.0","50.3","82.6","5.2","5.3","3.7","0.3","2.9","31.7","54.1","488061","13.3","3075981","64.4","225500","2571268","2.68","82.6","27.1","91.7","84.1","87.1","29.5","8.7","13.6","13996635","51243473","84716542","25.7","58945","30694","13.5","502593","499926","245243","182425","135313","344981","46780","427582","56.3","113594.08"
"Arkansas","3.5","3011524","2915918","6.2","23.2","17.4","50.9","79.0","15.7","1.0","1.7","0.4","2.2","7.8","72.0","197138","4.8","1389129","65.6","127800","1158071","2.52","84.6","7.5","86.2","73.0","86.6","23.0","12.6","10.9","4307264","62712925","36815256","21.7","47597","26577","16.2","209179","231959","123158","75962","35982","189029","25915","192988","56.0","52035.48"
"California","6.1","39538223","37253956","6.0","22.5","14.8","50.3","71.9","6.5","1.6","15.5","0.5","4.0","39.4","36.5","1574531","26.8","14366336","54.8","505000","13044266","2.95","87.1","44.2","93.0","86.7","83.3","33.9","6.7","8.9","90830372","512303164","481800461","29.8","75235","36955","11.8","3453769","3548449","1852580","1320085","1619857","1819107","252377","3176341","239.1","155779.22"
"Colorado","14.5","5773714","5029196","5.8","21.9","14.6","49.6","86.9","4.6","1.6","3.5","0.2","3.1","21.8","67.7","373795","9.7","2464164","65.2","343300","2148994","2.56","82.0","16.9","93.9","87.6","91.7","40.9","7.2","9.3","13617654","50447098","67815200","25.8","72331","38226","9.3","535299","547352","284554","194508","85849","442365","51722","469524","48.5","103641.89"
"Louisiana","2.5","4657757","4533372","6.5","23.4","15.9","51.2","62.8","32.8","0.8","1.8","0.1","1.8","5.3","58.4","243335","4.2","2089777","65.6","163100","1739497","2.61","87.2","8.0","85.6","75.5","85.2","24.1","11.1","10.5","11697949","271191050","61396364","25.7","49469","27923","19.0","385074","414291","215111","151114","126100","277676","42211","354460","104.9","43203.9"
"Maine","1.2","1362359","1328361","4.7","18.5","21.2","51.0","94.4","1.7","0.7","1.3","0.0","1.8","1.8","93.0","103776","3.6","750939","72.3","190400","559921","2.32","86.6","6.1","89.7","82.1","92.6","31.8","11.7","10.1","2901347","16044543","21521714","24.2","57918","32637","10.9","117341","139570","79243","42067","4339","131322","15689","115839","43.1","30842.92"
"Montana","8.0","1084225","989415","5.7","21.4","19.3","49.7","88.9","0.6","6.7","0.9","0.1","2.8","4.1","85.9","85350","2.2","519935","68.1","230600","427871","2.39","84.1","4.2","88.9","80.7","93.6","32.0","9.2","10.2","2420455","11535236","15623573","18.3","54970","31151","12.6","93753","112419","55913","35449","5578","102746","11486","93393","6.8","145545.8"
"Nebraska","5.9","1961504","1826341","6.8","24.6","16.2","50.0","88.1","5.2","1.5","2.7","0.1","2.3","11.4","78.2","117466","7.2","851227","66.1","155800","759176","2.45","84.1","11.5","90.0","83.4","91.4","31.9","7.8","9.8","3094498","57499177","30470717","18.8","61439","32302","9.9","138728","164089","83696","51936","14571","144122","16693","137254","23.8","76824.17"
"Nevada","14.1","3104614","2700551","6.0","22.5","16.1","49.8","73.9","10.3","1.7","8.7","0.8","4.6","29.2","48.2","207767","19.4","1285684","56.3","267900","1098602","2.67","82.1","30.4","92.5","83.2","86.7","24.7","8.6","13.4","27481505","14719141","38234170","24.6","60365","31557","12.5","245381","227156","114057","82508","71864","144944","23049","191293","24.6","109781.18"
"New Hampshire","3.3","1377529","1316470","4.7","18.8","18.7","50.4","93.1","1.8","0.3","3.0","0.0","1.8","4.0","89.8","96098","6.1","642315","71.1","261700","532037","2.46","86.1","8.0","93.0","87.7","93.1","37.0","9.0","7.6","2942278","18895624","26018201","27.5","76768","40003","7.3","108327","131638","76716","38525","6111","121297","16119","108817","147.0","8952.65"
"Idaho","14.0","1839106","1567582","6.5","25.1","16.3","49.9","93.0","0.9","1.7","1.6","0.2","2.6","12.8","81.6","116157","6.0","751105","70.0","212300","630008","2.68","82.8","10.9","91.8","82.7","90.8","27.6","9.6","12.8","2680225","20201432","20444278","21.1","55785","27970","11.2","135986","146642","70438","45121","10592","130973","12804","124314","19.0","82643.12"
"Illinois","-11.2","12812508","12830632","5.9","22.2","16.1","50.9","76.8","14.6","0.6","5.9","0.1","2.1","17.5","60.8","570264","14.1","5388066","66.1","194500","4846134","2.57","87.3","23.2","89.9","82.7","89.2","34.7","7.2","8.6","27937381","281037755","166634514","29.2","65886","36038","11.5","996670","1135017","609648","417500","311684","795129","89110","1006885","231.1","55518.93"
"Indiana","3.8","6785528","6483802","6.2","23.3","16.1","50.7","84.8","9.9","0.4","2.6","0.1","2.2","7.3","78.4","380690","5.2","2921032","69.1","141700","2570419","2.52","85.3","8.8","88.7","80.1","88.8","26.5","9.7","10.3","13076602","242763842","85857962","23.8","56303","29777","11.9","422619","479059","253533","162798","61252","405090","45174","412543","181.0","35826.11"
"Iowa","3.6","3190369","3046355","6.2","23.0","17.5","50.2","90.6","4.1","0.5","2.7","0.2","2.0","6.3","85.0","185671","5.3","1418626","71.1","147800","1265473","2.4","85.2","8.3","89.0","80.8","92.1","28.6","7.9","6.0","5468687","116668830","44905624","19.3","60523","32176","11.2","212333","259121","135382","82345","14707","236561","25889","217779","54.5","55857.13"
"Kansas","2.1","2937880","2853118","6.4","24.0","16.3","50.2","86.3","6.1","1.2","3.2","0.1","3.1","12.2","75.4","176444","7.1","1288401","66.3","151900","1129227","2.51","83.8","11.9","90.0","81.8","91.0","33.4","9.0","10.9","4873411","86076260","38276461","19.4","59597","31814","11.4","202389","239118","125169","77194","26127","204562","21610","203401","34.9","81758.72"
"Kentucky","3.0","4505836","4339367","6.1","22.4","16.8","50.7","87.5","8.5","0.3","1.6","0.1","2.0","3.9","84.1","267594","3.9","2006358","67.2","141000","1734618","2.49","84.9","5.6","86.4","78.4","86.3","24.2","13.2","7.7","7500115","129284438","54869978","23.6","50589","28178","16.3","295814","331546","184154","106011","27258","296155","33208","282704","109.9","39486.34"
"Oklahoma","5.5","3959353","3751351","6.5","24.1","16.1","50.5","74.0","7.8","9.4","2.4","0.2","6.3","11.1","65.0","270775","6.0","1749464","65.6","136800","1480061","2.58","83.2","10.5","88.6","78.6","88.0","25.5","11.5","16.8","7121153","74295394","50256231","21.9","52919","28422","15.2","291452","327229","174395","105168","64875","249027","36273","273491","54.7","68594.92"
"Oregon","10.1","4237256","3831074","5.4","20.5","18.2","50.4","86.7","2.2","1.8","4.9","0.5","4.0","13.4","75.1","283045","9.9","1808465","62.4","312200","1611982","2.51","82.9","15.4","93.0","85.9","90.7","33.7","9.9","8.6","8466788","51349948","49481054","23.9","62818","33763","11.4","302653","339305","165691","123015","41456","285028","30918","288790","39.9","95988.01"
"Maryland","4.7","6177224","5773552","6.0","22.1","15.9","51.6","58.5","31.1","0.6","6.7","0.1","2.9","10.6","50.0","365356","15.2","2470316","66.9","314800","2205204","2.67","86.4","19.0","92.4","86.4","90.2","40.2","7.5","6.9","12516782","39532989","76379707","33.2","84805","42122","9.0","510744","531953","276630","209119","203394","314902","50976","462232","594.8","9707.24"
"Massachusetts","5.3","7029917","6547629","5.2","19.6","17.0","51.5","80.6","9.0","0.5","7.2","0.1","2.6","12.4","71.1","303534","16.8","2928732","62.4","381600","2617497","2.52","87.3","23.8","91.4","86.4","90.8","43.7","7.8","3.5","17508975","81927799","92915380","30.2","81215","43761","9.4","573754","607664","357158","199210","89967","499959","58339","525667","839.4","7800.06"
"Michigan","1.0","10077331","9883640","5.7","21.5","17.7","50.7","79.2","14.1","0.7","3.4","0.0","2.5","5.3","74.7","549526","6.9","4629611","71.2","154900","3935041","2.47","86.2","9.7","89.6","81.5","90.8","29.1","10.2","6.9","17962356","238892383","119302046","24.6","57144","31713","13.0","730700","834087","446128","306986","158946","657237","71861","733517","174.8","56538.9"
"Minnesota","6.3","5706494","5303925","6.2","23.1","16.3","50.2","83.8","7.0","1.4","5.2","0.1","2.6","5.6","79.1","300044","8.5","2477753","71.6","223900","2185603","2.49","85.9","11.9","91.6","84.8","93.1","36.1","7.3","5.8","11722627","123076309","78898182","23.7","71306","37625","9.0","416487","489494","268710","157821","47302","428716","45582","419628","66.6","79626.74"
"Tennessee","7.6","6910840","6346105","6.0","22.1","16.7","51.2","78.4","17.1","0.5","2.0","0.1","2.0","5.7","73.5","431274","5.1","3028213","66.3","167200","2597292","2.52","85.5","7.2","87.1","78.4","87.5","27.3","11.0","12.1","12499013","139960482","91641605","25.2","53320","29859","13.9","539987","550453","302249","195694","105234","434025","59379","469392","153.9","41234.9"
"Texas","15.3","29145505","25145561","6.9","25.5","12.9","50.3","78.7","12.9","1.0","5.2","0.1","2.1","39.7","41.2","1453450","17.0","11283353","62.0","172500","9691647","2.85","84.4","35.5","91.0","81.9","83.7","29.9","7.9","20.8","54480811","702603073","356116376","26.6","61874","31277","13.6","2514301","2356748","1251696","866678","1070392","1224845","213590","2057218","96.3","261231.71"
"Utah","16.0","3271616","2763885","7.7","29.0","11.4","49.6","90.6","1.5","1.6","2.7","1.1","2.6","14.4","77.8","120447","8.5","1133521","70.2","279100","977313","3.12","83.1","15.4","95.3","87.5","92.3","34.0","6.8","10.8","4789281","50046429","38024486","21.9","71621","29775","8.9","246766","251419","132163","76269","24423","218826","18754","219807","33.6","82169.62"
"Vermont","-10.3","643077","625741","4.7","18.3","20.0","50.6","94.2","1.4","0.4","1.9","0.0","2.0","2.0","92.6","36988","4.7","339439","70.8","227700","260029","2.3","86.7","5.8","89.9","81.5","92.7","38.0","10.6","5.6","1564272","9315494","9933751","23.3","61973","34577","10.2","62027","75827","41270","23417","2354","70491","8237","63317","67.9","9216.66"
"Virginia","6.7","8631393","8001024","5.9","21.8","15.9","50.8","69.4","19.9","0.5","6.9","0.1","3.2","9.8","61.2","677533","12.4","3562143","66.3","273100","3151045","2.61","84.7","16.3","91.1","83.9","89.7","38.8","8.0","9.3","17795901","96389872","110002385","28.7","74222","39278","9.9","632995","653193","353012","236290","185043","450109","76434","548439","202.6","39490.09"
"Washington","13.2","7705281","6724540","6.0","21.8","15.9","49.9","78.5","4.4","1.9","9.6","0.8","4.9","13.0","67.5","529784","14.3","3195004","63.0","339000","2848396","2.55","82.3","19.7","93.8","88.3","91.3","36.0","8.7","7.7","14297278","131530601","118924049","28.0","73775","38915","9.8","491908","541522","262650","187677","92807","426697","49331","461401","101.2","66455.52"
"Mississippi","0.3","2961279","2967297","6.2","23.5","16.4","51.5","59.1","37.8","0.6","1.1","0.1","1.3","3.4","56.4","165538","2.4","1339021","68.2","119000","1104394","2.62","86.9","4.0","83.8","71.5","84.5","22.0","11.9","15.4","6999175","66441608","37053190","24.8","45081","24369","19.6","222159","235454","125079","89159","74824","155094","26789","198566","63.2","46923.27"
"Missouri","2.5","6154913","5988927","6.0","22.3","17.3","50.9","82.9","11.8","0.6","2.2","0.2","2.4","4.4","79.1","401779","4.2","2819383","66.8","157200","2414521","2.46","84.8","6.3","89.0","80.2","89.9","29.2","10.3","12.0","12430310","111535362","90546581","23.9","55461","30810","12.9","426915","491606","257948","162616","61035","415972","49217","415542","87.1","68741.52"
"Pennsylvania","0.8","13002700","12702379","5.5","20.6","18.7","51.0","81.6","12.0","0.4","3.8","0.1","2.1","7.8","75.7","759474","6.9","5732628","68.9","180200","5053106","2.45","87.6","11.4","88.0","81.5","90.5","31.4","9.8","7.0","23504192","231396178","178794945","27.2","61744","34352","12.0","865041","975453","579400","304803","131512","818858","97969","837792","283.9","44742.7"
"Rhode Island","0.6","1097379","1052567","5.1","19.3","17.7","51.3","83.6","8.5","1.1","3.7","0.2","2.9","16.3","71.4","54121","13.6","470168","60.8","261900","410489","2.47","87.4","22.4","89.1","84.0","88.8","34.2","9.7","4.8","2481314","11262158","12063865","25.2","67167","36121","10.8","83145","94642","54651","30484","14737","77042","9904","79837","1018.1","1033.81"
"South Carolina","11.3","5118425","4625364","5.7","21.6","18.2","51.6","68.6","27.0","0.5","1.8","0.1","2.0","6.0","63.7","365139","5.0","2351286","69.4","162300","1921862","2.54","85.7","7.2","88.3","78.2","87.5","28.1","10.2","13.2","9763818","99160840","58093824","25.0","53199","29426","13.8","363971","367726","202446","131856","83233","276269","47987","303137","153.9","30060.7"
"South Dakota","8.7","886667","814180","6.9","24.5","17.2","49.5","84.6","2.3","9.0","1.5","0.1","2.5","4.2","81.5","57550","3.7","401862","67.8","167100","344397","2.43","84.2","6.4","88.5","80.7","91.7","28.8","8.1","12.2","1873699","16882647","13791827","17.2","58275","30773","11.9","68405","81314","42418","23722","4101","74228","8604","66219","10.7","75811.0"
"New Jersey","1.0","9288994","8791894","5.8","21.8","16.6","51.1","71.9","15.1","0.6","10.0","0.1","2.3","20.9","54.6","321991","22.4","3641812","63.9","335600","3231874","2.69","89.8","31.3","91.4","85.8","89.8","39.7","6.5","9.2","19673558","108854971","133665728","32.2","82545","42745","9.2","745483","792088","464592","252944","237242","533808","57996","707975","1195.5","7354.22"
"New Mexico","1.8","2117522","2059179","5.8","22.7","18.0","50.5","81.9","2.6","11.0","1.8","0.2","2.6","49.3","36.8","144977","9.4","948473","67.7","171400","780249","2.63","86.7","34.0","85.9","74.6","85.6","27.3","10.5","12.0","4349672","29102352","25179274","22.3","49754","27230","18.2","125925","151363","71132","59044","60622","83857","14096","128693","17.0","121298.15"
"New York","0.4","20201249","19378102","5.8","20.7","16.9","51.4","69.6","17.6","1.0","9.0","0.1","2.7","19.3","55.3","705924","22.6","8404381","53.9","313700","7343234","2.59","89.5","30.5","89.6","82.8","86.8","36.6","7.6","6.1","49285508","148879931","251167736","33.6","68486","39326","13.0","1804188","2008988","1139910","725709","709021","1248304","137532","1811544","411.2","47126.4"
"North Carolina","10.0","10439388","9535483","5.8","21.9","16.7","51.4","70.6","22.2","1.6","3.2","0.1","2.3","9.8","62.6","659584","8.0","4747943","65.2","172500","3965482","2.52","84.8","11.8","89.1","80.7","87.8","31.3","9.4","13.4","18622258","202344646","120691007","24.8","54602","30783","13.6","787883","805985","435677","287058","183380","603182","86571","684743","196.1","48617.91"
"North Dakota","13.3","779094","672591","7.1","23.6","15.7","48.8","86.9","3.4","5.6","1.7","0.1","2.3","4.1","83.7","46067","4.1","380173","62.4","193900","318322","2.3","82.2","6.0","89.8","80.7","92.6","30.0","7.2","8.1","2045123","14427360","15519816","17.3","64894","36062","10.6","56523","68270","37016","20316","3190","62271","6584","56904","9.7","69000.8"
"Ohio","1.3","11799448","11536504","5.9","22.1","17.5","51.0","81.7","13.1","0.3","2.5","0.1","2.4","4.0","78.4","709287","4.6","5232869","66.1","145700","4676358","2.43","85.3","7.2","89.1","82.0","90.4","28.3","10.0","7.8","20652777","313629976","153553997","23.7","56602","31552","13.1","802331","904814","510078","306824","122653","759569","91316","776193","282.3","40860.69"
"West Virginia","-13.3","1793716","1852994","5.2","20.1","20.5","50.5","93.5","3.6","0.3","0.8","0.0","1.8","1.7","92.0","130536","1.7","894956","73.2","119600","732585","2.42","88.3","2.6","84.2","76.0","86.9","20.6","14.0","8.3","4036333","24553072","22637923","25.9","46711","26480","16.0","88150","114435","63112","39065","5777","104785","12912","94960","77.1","24038.21"
"Wisconsin","2.4","5893718","5686986","5.7","21.8","17.5","50.2","87.0","6.7","1.2","3.0","0.1","2.0","7.1","80.9","331340","5.0","2725296","67.0","180600","2358156","2.39","86.0","8.7","89.4","82.5","92.2","30.1","8.0","6.8","10303256","177728926","78201822","22.2","61747","33375","10.4","355166","432980","236252","133859","40507","379934","39830","370755","105.0","54157.8"
"Wyoming","2.7","576851","563626","6.0","23.1","17.1","49.1","92.5","1.3","2.7","1.1","0.1","2.2","10.1","83.7","44999","3.4","280291","70.4","220500","230101","2.46","83.2","7.4","91.8","83.4","93.2","27.4","8.9","14.8","1644844","10783794","9446043","17.9","64049","33366","10.1","53042","62427","30039","19344","4077","55397","6470","51353","5.8","97093.14"
